source_file,line_number,referenced_path,ref_type
README.md,15,./skills/README.md,markdown_link
README.md,16,./docs/ja/setup/04-upload-skill.md,markdown_link
README.md,21,./docs/ja/maintenance-guide.md,markdown_link
README.md,22,./docs/ja/specs/maintenance-four-levels.md,markdown_link
README.md,22,./docs/ja/specs/abstract-generation.md,markdown_link
README.md,23,./docs/ja/decisions/0009-four-level-maintenance-operation.md,markdown_link
README.md,27,./docs/ja/decisions/0002-cloudflare-workers-for-mcp.md,markdown_link
README.md,28,./docs/ja/rejected-alternatives/mcp-platform-cloud-run.md,markdown_link
README.md,28,./docs/ja/rejected-alternatives/mcp-platform-other-candidates.md,markdown_link
README.md,29,./docs/ja/setup/02-deploy-mcp-server.md,markdown_link
README.md,33,./docs/ja/naming-conventions.md,markdown_link
README.md,34,./docs/ja/decisions/0006-naming-vault-scheme.md,markdown_link
README.md,35,./docs/ja/rejected-alternatives/naming-plan-personal-vault-prefix.md,markdown_link
README.md,39,./docs/ja/architecture.md,markdown_link
README.md,40,./docs/ja/decisions/0003-skill-project-vault-3-layer.md,markdown_link
README.md,40,./docs/ja/decisions/0004-thin-project-instructions.md,markdown_link
README.md,44,./docs/ja/philosophy.md,markdown_link
README.md,45,./docs/ja/decisions/0001-github-as-backend.md,markdown_link
README.md,49,./docs/ja/setup/README.md,markdown_link
README.md,50,./docs/ja/setup/00-prerequisites.md,markdown_link
README.md,54,./mcp-server-reference/README.md,markdown_link
README.md,55,./mcp-server-reference/setup.md,markdown_link
README.md,56,./mcp-server-reference/env-reference.md,markdown_link
README.md,61,./docs/ja/decisions/0016-mcp-connection-failure-abort.md,markdown_link
README.md,66,./docs/i18n/README.md,markdown_link
README.md,67,./docs/i18n/translation-strategy.md,markdown_link
README.md,71,./docs/ja/rejected-alternatives/README.md,markdown_link
README.md,76,./docs/ja/guidelines/save-decision-flow.md,markdown_link
README.md,77,./docs/ja/decisions/0007-save-destination-plan-b.md,markdown_link
README.md,81,./docs/ja/decisions/README.md,markdown_link
README.md,85,./docs/ja/specs/README.md,markdown_link
README.md,89,./docs/ja/glossary.md,markdown_link
README.md,108,./docs/ja/setup/README.md,markdown_link
README.md,112,./docs/i18n/contributing-translations.md,markdown_link
README.md,119,./README.en.md,markdown_link
docs/MIRRORING_COMPLETION_REPORT_step5.md,97,../rejected-alternatives/*.md,wikilink
docs/MIRRORING_COMPLETION_REPORT_step9.md,119,./README.en.md,markdown_link
docs/en/architecture.md,100,../ja/decisions/0003-skill-project-vault-3-layer.md,markdown_link
docs/en/architecture.md,101,../ja/decisions/0004-thin-project-instructions.md,markdown_link
docs/en/architecture.md,102,./philosophy.md,markdown_link
docs/en/architecture.md,103,../ja/specs/reference-level-system.md,markdown_link
docs/en/decisions/0001-github-as-backend.md,89,../rejected-alternatives/vault-composition-plan-2-obsidian-sync.md,wikilink
docs/en/decisions/0001-github-as-backend.md,99,../rejected-alternatives/vault-composition-plan-3-hybrid.md,wikilink
docs/en/decisions/0002-cloudflare-workers-for-mcp.md,118,../rejected-alternatives/mcp-platform-cloud-run.md,wikilink
docs/en/decisions/0002-cloudflare-workers-for-mcp.md,128,../rejected-alternatives/mcp-platform-other-candidates.md,wikilink
docs/en/decisions/0004-thin-project-instructions.md,128,../rejected-alternatives/instructions-attached-file.md,wikilink
docs/en/decisions/0006-naming-vault-scheme.md,107,../rejected-alternatives/naming-plan-personal-vault-prefix.md,wikilink
docs/en/decisions/0006-naming-vault-scheme.md,111,../rejected-alternatives/naming-plan-vault-only.md,wikilink
